,0
469,0.89934075
470,0.7877036
471,0.995637
472,0.99326235
473,0.995344
474,0.7966983
475,0.8810787
476,0.79813397
477,0.80941314
478,0.24077
479,0.25588182
480,0.15051219
481,0.16383556
482,0.8998088
483,0.28457332
484,0.8116349
485,0.8335108
486,0.91571534
487,0.66445065
488,0.7705657
489,0.1742462
490,0.76775366
491,0.16705583
492,0.78961825
493,0.9222488
494,0.7654763
495,0.5970276
496,0.1482181
497,0.7691233
498,0.7551288
499,0.7390418
500,0.27985144
501,0.14948726
502,0.2816802
503,0.15163244
504,0.5530886
505,0.16413364
506,0.5143013
507,0.8510801
508,0.9920047
509,0.8922222
510,0.83843386
511,0.84892285
512,0.9814053
513,0.5432945
514,0.58644545
515,0.14723708
516,0.85294473
517,0.86316216
518,0.2064954
519,0.9960821
520,0.9946785
521,0.8379079
522,0.29901195
523,0.8058214
524,0.7957738
525,0.79087436
526,0.6081553
527,0.8039399
528,0.8912689
529,0.771862
530,0.5310085
531,0.64125174
532,0.5563787
533,0.16416767
534,0.69877654
535,0.74777776
536,0.67896134
537,0.82741696
538,0.84858763
539,0.7159852
540,0.82224214
541,0.8475729
542,0.1696739
543,0.60269266
544,0.18218084
545,0.18214846
546,0.14983599
547,0.8056981
548,0.7641152
549,0.15631367
550,0.9949344
551,0.76950234
552,0.8429016
553,0.8057715
554,0.34404
555,0.5109909
556,0.15140414
557,0.28614107
558,0.22087151
559,0.3726239
560,0.7865477
561,0.26636282
562,0.28962186
563,0.1870635
564,0.18166538
565,0.95480627
566,0.15585288
567,0.4256892
568,0.9267195
569,0.39617994
570,0.33036855
571,0.9963419
572,0.63927895
573,0.41358617
574,0.5628657
575,0.47375268
576,0.8369017
577,0.633497
578,0.81884
579,0.591535
580,0.9930248
581,0.34524748
582,0.98954433
583,0.6267109
584,0.99540615
585,0.8936649
586,0.16338746
587,0.68506145
588,0.7785608
589,0.9445889
590,0.9864162
591,0.8844136
592,0.23026787
593,0.18938988
594,0.20583974
595,0.15843832
596,0.22181936
597,0.6567729
598,0.2064094
599,0.6321302
600,0.15135895
601,0.16656655
602,0.9899967
603,0.14698215
604,0.34980336
605,0.20912993
606,0.9708486
607,0.8090544
608,0.35830566
609,0.6296824
610,0.15457124
611,0.7827686
612,0.7737687
613,0.9790051
614,0.6514737
615,0.18918358
616,0.16121234
617,0.1480008
618,0.9953662
619,0.79855704
620,0.4671588
621,0.21287923
622,0.9067397
623,0.97921306
624,0.26747945
625,0.1504807
626,0.93525356
627,0.77619183
628,0.66710585
629,0.7046967
630,0.264513
631,0.9692606
632,0.17515093
633,0.41243532
634,0.15872627
635,0.88573235
636,0.34445783
637,0.7011893
638,0.99539596
639,0.16043237
640,0.7867126
641,0.76532376
642,0.82723206
643,0.1818683
644,0.7927532
645,0.8065735
646,0.5601239
647,0.7972451
648,0.6649863
649,0.5596163
650,0.7246524
651,0.73646295
652,0.63995516
653,0.36879894
654,0.9553283
655,0.17556919
656,0.54626405
657,0.15802552
658,0.79265416
659,0.80410945
660,0.8534903
661,0.1732786
662,0.2667875
663,0.6254703
664,0.38756788
665,0.17739077
666,0.15839249
667,0.820053
668,0.80105126
669,0.867406
670,0.96798253
671,0.98638386
672,0.62892663
673,0.8956722
674,0.7910147
675,0.61477804
676,0.77031326
677,0.8195639
678,0.9007226
679,0.45940357
680,0.9948177
681,0.9281401
682,0.8549532
683,0.41655466
684,0.8647926
685,0.21264192
686,0.73622566
687,0.49719957
688,0.86654776
689,0.1549163
690,0.8030454
691,0.5543165
692,0.7851123
693,0.3201211
694,0.20390235
695,0.39641765
696,0.16687785
697,0.75186795
698,0.15406887
699,0.16029462
700,0.14986691
701,0.24923046
702,0.85842234
703,0.17173515
704,0.2688922
705,0.81298864
706,0.48955315
707,0.7043044
708,0.8374855
709,0.5742901
710,0.28660378
711,0.956033
712,0.88089526
713,0.37904522
714,0.1549297
715,0.84146714
716,0.94271195
717,0.7181582
718,0.66651314
719,0.99546623
720,0.8452866
721,0.9930199
722,0.99540126
723,0.7837903
724,0.9109692
725,0.8511087
726,0.15423864
727,0.7495701
728,0.20597933
729,0.49138603
730,0.20219997
731,0.63027596
732,0.36874157
733,0.14858636
734,0.38030407
735,0.48703912
736,0.47577775
737,0.5494856
738,0.9099905
739,0.57788664
740,0.788647
741,0.78583914
742,0.77491283
743,0.61147696
744,0.5650387
745,0.16551644
746,0.8813192
747,0.908197
748,0.31676647
749,0.7907422
750,0.7866734
751,0.32743132
752,0.8125964
753,0.95958406
754,0.84530336
755,0.17814071
756,0.73020387
757,0.757126
758,0.81025225
759,0.97943795
760,0.8585989
761,0.1917991
762,0.7461819
763,0.1478542
764,0.46663648
765,0.9248176
766,0.81957793
767,0.82524985
768,0.7807484
769,0.15974078
770,0.7967836
771,0.31864068
772,0.15694506
773,0.90065134
774,0.7608168
775,0.16659221
776,0.9239017
777,0.9364649
778,0.85660064
779,0.91894644
780,0.84957546
781,0.58765996
782,0.98973745
783,0.77356184
784,0.49094227
785,0.3578767
786,0.15943326
787,0.56124234
788,0.90721273
789,0.85450506
790,0.9233742
791,0.14656681
792,0.20746373
793,0.6362034
794,0.99280095
795,0.5453553
796,0.84171623
797,0.14694613
798,0.1507284
799,0.26342586
800,0.6447525
801,0.61421967
802,0.9258667
803,0.7774232
804,0.4151924
805,0.8438532
806,0.77079004
807,0.8503575
808,0.3945307
809,0.36179665
810,0.18059503
811,0.15862834
812,0.9864796
813,0.793566
814,0.30478486
815,0.85157603
816,0.91511476
817,0.17123373
818,0.8831287
819,0.3331275
820,0.84426624
821,0.37491027
822,0.6939647
823,0.14653508
824,0.15000382
825,0.778459
826,0.6669868
827,0.21363959
828,0.680265
829,0.995138
830,0.9956254
831,0.17107159
832,0.8871878
833,0.60702556
834,0.578383
835,0.77246326
836,0.88271916
837,0.80458605
838,0.78999597
839,0.88625205
840,0.92836964
841,0.70501286
842,0.9388314
843,0.84083384
844,0.7215098
845,0.77607924
846,0.37294456
847,0.15217848
848,0.95141923
849,0.5322494
850,0.14892718
851,0.9959187
852,0.663988
853,0.4971292
854,0.7837965
855,0.94404775
856,0.91490376
857,0.7913375
858,0.9538423
859,0.768016
860,0.15625948
861,0.34019244
862,0.9902734
863,0.88938385
864,0.31146595
865,0.9275239
