,0
442,0.2012064
443,0.9380946
444,0.9105382
445,0.80521333
446,0.19903405
447,0.93074465
448,0.826418
449,0.6561674
450,0.8999509
451,0.798027
452,0.36971334
453,0.96896434
454,0.95807797
455,0.20675607
456,0.79502004
457,0.90924805
458,0.8746289
459,0.46115482
460,0.40879953
461,0.91466755
462,0.8740432
463,0.92070353
464,0.1959305
465,0.17274384
466,0.93896836
467,0.782809
468,0.2563909
469,0.9002652
470,0.82913923
471,0.5157678
472,0.78900045
473,0.96802896
474,0.39001137
475,0.16639887
476,0.83183527
477,0.5228371
478,0.6448438
479,0.29312044
480,0.89146966
481,0.50163424
482,0.20050213
483,0.7546865
484,0.87855697
485,0.86146444
486,0.18038596
487,0.8285787
488,0.7646874
489,0.9283901
490,0.9583132
491,0.5287522
492,0.8528194
493,0.7716369
494,0.36994278
495,0.2007649
496,0.9207955
497,0.37284544
498,0.20780207
499,0.31101987
500,0.36370066
501,0.16168566
502,0.781738
503,0.58846116
504,0.5185253
505,0.9505032
506,0.6442036
507,0.18737626
508,0.71355134
509,0.36795458
510,0.57343394
511,0.798982
512,0.6816563
513,0.93104994
514,0.9522624
515,0.9575702
516,0.20517167
517,0.35167453
518,0.9301632
519,0.8387918
520,0.88970184
521,0.8117001
522,0.27878785
523,0.92648077
524,0.95977366
525,0.8334526
526,0.96933013
527,0.77351975
528,0.50341874
529,0.16544585
530,0.1674583
531,0.82262456
532,0.26156893
533,0.19469985
534,0.23367403
535,0.6047173
536,0.36592814
537,0.29294252
538,0.900066
539,0.8527764
540,0.8098757
541,0.92752445
542,0.96643585
543,0.8099744
544,0.3123997
545,0.7312396
546,0.35442007
547,0.8126778
548,0.8914106
549,0.8944354
550,0.7146046
551,0.8525686
552,0.9601941
553,0.1749257
554,0.86009854
555,0.5188877
556,0.17151885
557,0.96414775
558,0.89910245
559,0.68292415
560,0.17652288
561,0.89698
562,0.15349457
563,0.2970619
564,0.85653836
565,0.95192105
566,0.66786975
567,0.8061056
568,0.6450159
569,0.50885475
570,0.25904277
571,0.86351645
572,0.18061878
573,0.48601627
574,0.62484807
575,0.61296964
576,0.760931
577,0.8499446
578,0.45509362
579,0.19274104
580,0.8389317
581,0.94677347
582,0.9273757
583,0.8525501
584,0.22668363
585,0.90021485
586,0.87621295
587,0.85668325
588,0.956246
589,0.33902484
590,0.9246397
591,0.9661053
592,0.83842206
593,0.9550215
594,0.16549161
595,0.3978013
596,0.8050634
597,0.20887919
598,0.8821571
599,0.17429581
